Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1045.1: HR1 Temp,1045.2: HR2 Temp,1048.1: HR Temp Differential Input,1048.2: HR Temp Differential Input,1046.1: Differential Voltage,1046.2: Differential Voltage
10:00:04,83,46146.41671392652,0,0.0,0.0,-0.0018083573086187243,7.095187902450562e-05,-8.410982843543025e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.63121568322822e-07,-1.0403527994640172e-06
10:00:05,79,46146.41672546032,0,0.0,0.0,-0.0018293381435796618,0.00011176615953445435,-2.0445810378078022e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.691191174468258e-07,-1.0376401178291417e-06
10:00:06,107,46146.41673735615,0,0.0,0.0,-0.0018085481133311987,0.0001163482666015625,-1.1037337088737331e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.746292910975171e-07,-1.0339101663703332e-06
10:00:07,110,46146.4167489631,0,0.0,0.0,-0.001823043916374445,0.00014228373765945435,-2.573269739514217e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.661521183559671e-07,-1.0384030701970914e-06
10:00:08,117,46146.41676061643,0,0.0,0.0,-0.0018159867031499743,0.00016365200281143188,-3.1132987032833626e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.616804739678628e-07,-1.0438707249704748e-06
10:00:09,110,46146.41677210816,0,0.0,0.0,-0.0017990113701671362,9.460747241973877e-05,-1.775983520246882e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.655799325017142e-07,-1.0433409443066921e-06
10:00:10,118,46146.41678377759,0,0.0,0.0,-0.0017406464321538806,9.384006261825562e-05,-8.550826890996177e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.663216822744289e-07,-1.0401196277598501e-06
10:00:11,125,46146.41679543109,0,0.0,0.0,-0.001811218331567943,0.00014381855726242065,-8.62655795685896e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.608963190046779e-07,-1.039059952745447e-06
10:00:12,133,46146.41680709938,0,0.0,0.0,-0.001828956650570035,1.0676681995391846e-05,-1.7943318653124152e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.668091145911603e-07,-1.0323842616344336e-06
10:00:13,141,46146.41681877013,0,0.0,0.0,-0.0018512726528570056,7.323920726776123e-05,-1.36996646915577e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.701363872707589e-07,-1.0508432524147793e-06
10:00:14,149,46146.41683043392,0,0.0,0.0,-0.001820564386434853,3.0137598514556885e-05,-5.486743859250964e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.619559371756623e-07,-1.0436165212013293e-06
