Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
12:19:54,334,46146.51382332066,0,0.0,0.0,0.0021512985695153475,2.0000014305114746,0.004302600398659706,-55.4984130859375,-55.4984130859375,-6.860733492430882e-07,-1.044760892909835e-06
12:19:54,543,46146.51382573782,0,0.0,0.0,0.00212440500035882,2.6180613040924072,0.005561822559684515,-55.4984130859375,-55.4984130859375,-6.860733492430882e-07,-1.044760892909835e-06
12:19:54,861,46146.5138294136,0,0.0,0.0,0.0022821426391601562,3.17560076713562,0.007307743653655052,-55.4984130859375,-55.4984130859375,-6.860733492430882e-07,-1.044760892909835e-06
12:19:55,102,46146.51383221037,0,0.0,0.0,0.002209282014518976,3.4998345375061035,0.007779293693602085,-55.4984130859375,-55.4984130859375,-6.722768830513814e-07,-1.0530047802603804e-06
12:19:55,311,46146.51383462092,0,0.0,0.0,0.0022478103637695312,3.902088165283203,0.00868490245193243,-55.4984130859375,-55.4984130859375,-6.722768830513814e-07,-1.0530047802603804e-06
12:19:55,679,46146.51383888346,0,0.0,0.0,0.0022876739967614412,3.999457359313965,0.008922403678297997,-55.4984130859375,-55.4984130859375,-6.722768830513814e-07,-1.0530047802603804e-06
12:19:55,887,46146.513841286214,0,0.0,0.0,0.0022172927856445312,3.902294158935547,0.008652528747916222,-55.4984130859375,-55.4984130859375,-6.722768830513814e-07,-1.0530047802603804e-06
12:19:56,193,46146.51384483622,0,0.0,0.0,0.00221595773473382,3.618037223815918,0.007873879745602608,-55.4984130859375,-55.4984130859375,-6.692674787700525e-07,-1.0539796448938432e-06
12:19:56,431,46146.51384758306,0,0.0,0.0,0.00231342320330441,3.1836299896240234,0.007127203978598118,-55.4984130859375,-55.4984130859375,-6.692674787700525e-07,-1.0539796448938432e-06
12:19:56,638,46146.51384998813,0,0.0,0.0,0.00212612166069448,2.6180484294891357,0.005482327193021774,-55.4984130859375,-55.4984130859375,-6.692674787700525e-07,-1.0539796448938432e-06
12:19:56,959,46146.513853702294,0,0.0,0.0,0.0021665573585778475,2.001535177230835,0.004324296489357948,-55.4984130859375,-55.4984130859375,-6.692674787700525e-07,-1.0539796448938432e-06
12:19:57,167,46146.51385610605,0,0.0,0.0,0.00209732074290514,1.382182240486145,0.002916327677667141,-55.4984130859375,-55.4984130859375,-6.769604397049989e-07,-1.0551029845373705e-06
12:19:57,583,46146.51386092065,0,0.0,0.0,0.0020673752296715975,0.8244302272796631,0.0017044065752997994,-55.4984130859375,-55.4984130859375,-6.769604397049989e-07,-1.0551029845373705e-06
12:19:57,791,46146.5138633243,0,0.0,0.0,0.001999473664909601,0.38196587562561035,0.0007637307280674577,-55.4984130859375,-55.4984130859375,-6.769604397049989e-07,-1.0551029845373705e-06
12:19:58,116,46146.51386709183,0,0.0,0.0,0.0019313812954351306,0.09790396690368652,0.00018908988568000495,-55.4984130859375,-55.4984130859375,-6.769604397049989e-07,-1.0540220500843134e-06
12:19:58,319,46146.51386943741,0,0.0,0.0,0.0019872665870934725,2.6226043701171875e-06,5.2118140914103606e-09,-55.4984130859375,-55.4984130859375,-6.745444807165768e-07,-1.0540220500843134e-06
12:19:58,527,46146.51387185169,0,0.0,0.0,0.0019872665870934725,0.09789848327636719,0.00019334246462676674,-55.4984130859375,-55.4984130859375,-6.745444807165768e-07,-1.0540220500843134e-06
12:19:58,863,46146.513875737255,0,0.0,0.0,0.001955413958057761,0.38196468353271484,0.000746899051591754,-55.4984130859375,-55.4984130859375,-6.745444807165768e-07,-1.0540220500843134e-06
12:19:59,71,46146.5138781414,0,0.0,0.0,0.001998519990593195,0.8244345188140869,0.0016476488672196865,-55.4984130859375,-55.4984130859375,-6.745444807165768e-07,-1.0606977411953267e-06
12:19:59,428,46146.5138822764,0,0.0,0.0,0.002035522600635886,1.3819658756256104,0.002812495455145836,-55.4984130859375,-55.4984130859375,-6.807539421060937e-07,-1.0606977411953267e-06
12:19:59,631,46146.51388462328,0,0.0,0.0,0.002131653018295765,1.987021565437317,0.004212518688291311,-55.4984130859375,-55.4984130859375,-6.807539421060937e-07,-1.0606977411953267e-06
12:19:59,839,46146.513887026806,0,0.0,0.0,0.002071380615234375,2.6180269718170166,0.00542942201718688,-55.4984130859375,-55.4984130859375,-6.807539421060937e-07,-1.0606977411953267e-06
12:20:00,191,46146.51389110706,0,0.0,0.0,0.0022157670464366674,3.1755964756011963,0.007036381866782904,-55.4984130859375,-55.4984130859375,-6.807539421060937e-07,-1.051521280714951e-06
12:20:00,399,46146.513893513125,0,0.0,0.0,0.0021301270462572575,3.6180057525634766,0.007706812117248774,-55.4984130859375,-55.4984130859375,-6.865183763693494e-07,-1.051521280714951e-06
12:20:00,783,46146.51389795836,0,0.0,0.0,0.002197837922722101,3.9020748138427734,0.00857612770050764,-55.4984130859375,-55.4984130859375,-6.865183763693494e-07,-1.051521280714951e-06
12:20:00,992,46146.513900377824,0,0.0,0.0,0.002279663225635886,4.000016689300537,0.009118691086769104,-55.4984130859375,-55.4984130859375,-6.865183763693494e-07,-1.051521280714951e-06
12:20:01,353,46146.51390454944,0,0.0,0.0,0.0022560120560228825,3.90212082862854,0.0088032316416502,-55.4984130859375,-55.4984130859375,-6.783167805224366e-07,-1.0561414001131197e-06
12:20:01,568,46146.51390703756,0,0.0,0.0,0.002177429385483265,3.618054151535034,0.007917392067611217,-55.4984130859375,-55.4984130859375,-6.783167805224366e-07,-1.0561414001131197e-06
12:20:01,775,46146.51390943842,0,0.0,0.0,0.00233039865270257,3.175584316253662,0.007436719257384539,-55.4984130859375,-55.4984130859375,-6.783167805224366e-07,-1.0561414001131197e-06
12:20:02,208,46146.513914449344,0,0.0,0.0,0.002219772431999445,2.618072509765625,0.005580322351306677,-55.4984130859375,-55.4984130859375,-6.783167805224366e-07,-1.0622449053698801e-06
12:20:02,416,46146.513916856915,0,0.0,0.0,0.002166366670280695,2.000009775161743,0.004374289885163307,-55.4984130859375,-55.4984130859375,-6.798638878535712e-07,-1.0622449053698801e-06
12:20:02,800,46146.51392130548,0,0.0,0.0,0.002056694123893976,1.3819602727890015,0.002842269605025649,-55.4984130859375,-55.4984130859375,-6.798638878535712e-07,-1.0622449053698801e-06
