Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1045.1: HR1 Temp,1045.2: HR2 Temp,1048.1: HR Temp Differential Input,1048.2: HR Temp Differential Input,1046.1: Differential Voltage,1046.2: Differential Voltage
10:00:57,92,46146.41732745637,0,0.0,0.0,-0.001778602716512978,5.416572093963623e-05,-1.272181435751918e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.686528877253295e-07,-1.0483424830454169e-06
10:00:58,108,46146.4173392194,0,0.0,0.0,-0.0017461777897551656,9.880214929580688e-05,-1.7147078779089497e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.67550864363875e-07,-1.041497171172523e-06
10:00:59,119,46146.41735091664,0,0.0,0.0,-0.0017642976017668843,9.270012378692627e-05,-1.1467491844996403e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.683561650788761e-07,-1.042747612700623e-06
10:01:00,122,46146.41736252407,0,0.0,0.0,-0.0017372132278978825,5.7220458984375e-05,-1.0164149699676273e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.650925001849828e-07,-1.0460748853802215e-06
10:01:01,130,46146.41737420045,0,0.0,0.0,-0.0017568588955327868,0.00014610588550567627,-2.510581964543235e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.574631470357417e-07,-1.0407766239950433e-06
10:01:02,122,46146.417385680616,0,0.0,0.0,-0.0017967225285246968,6.408244371414185e-05,-1.4916771817752306e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.660462190666294e-07,-1.039526296153781e-06
10:01:03,131,46146.417397352096,0,0.0,0.0,-0.001740837236866355,3.0547380447387695e-06,-9.017870894467706e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.645838652730163e-07,-1.0481940080353525e-06
10:01:04,123,46146.41740883199,0,0.0,0.0,-0.0017711640102788806,4.4636428356170654e-05,-7.905843801836454e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.658131042058812e-07,-1.0375977126386715e-06
10:01:05,130,46146.41742049186,0,0.0,0.0,-0.0018173218704760075,0.00010719150304794312,-1.9480145851957786e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.683985702693462e-07,-1.046519855663064e-06
10:01:06,126,46146.417432023576,0,0.0,0.0,-0.001794242998585105,8.162856101989746e-05,-2.0809130774068763e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.683985702693462e-07,-1.0376401178291417e-06
10:01:07,122,46146.41744355271,0,0.0,0.0,-0.0017719269962981343,9.612739086151123e-05,-1.703307219713679e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.635877980443183e-07,-1.0505041245778557e-06
