Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1045.1: HR1 Temp,1045.2: HR2 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
13:15:12,31,46142.552222591876,0,0.0,0.0,0.004594993777573109,0.00034356117248535156,1.5786614540047594e-06,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.622738624173508e-07,-1.0335286333429394e-06
13:15:13,32,46142.55223417148,0,0.0,0.0,0.004649925511330366,2.6226043701171875e-05,1.219491565507269e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.541782227031945e-07,-1.0367712093284354e-06
13:15:14,32,46142.5522457471,0,0.0,0.0,0.004748344421386719,0.6180167198181152,0.0029233579989522696,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.541782227031945e-07,-1.0460960311320378e-06
13:15:15,32,46142.55225732272,0,0.0,0.0,0.004773139953613281,0.618004322052002,0.002957287710160017,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.578233637810627e-07,-1.0371102234785212e-06
13:15:16,32,46142.55226890026,0,0.0,0.0,0.004809570498764515,1.175978183746338,0.0056559499353170395,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.693946374980442e-07,-1.041878590513079e-06
13:15:17,33,46142.552280477845,0,0.0,0.0,0.004841804504394531,1.1760166883468628,0.005694042891263962,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.619347345804272e-07,-1.0422601235404727e-06
13:15:18,33,46142.552292056374,0,0.0,0.0,0.004934311378747225,1.617992639541626,0.00793306715786457,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.596883395104669e-07,-1.0391659088782035e-06
13:15:19,34,46142.55230363653,0,0.0,0.0,0.005018425174057484,1.6179907321929932,0.00803431961685419,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.657919016106462e-07,-1.0413488098492962e-06
13:15:20,34,46142.55231521174,0,0.0,0.0,0.005032157991081476,1.9020001888275146,0.009571165777742863,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.626764843531419e-07,-1.0375553074482013e-06
13:15:21,34,46142.552326788464,0,0.0,0.0,0.00506172189489007,1.9020105600357056,0.0096274483948946,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.636301463913696e-07,-1.0374282055636286e-06
13:15:22,34,46142.55233836708,0,0.0,0.0,0.005127716343849897,1.9999877214431763,0.010222945362329483,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.589465897377522e-07,-1.0454814400873147e-06
13:15:23,35,46142.55234994508,0,0.0,0.0,0.005158233921974897,1.9999990463256836,0.010191722773015499,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.671905339317163e-07,-1.0411793027742533e-06
13:15:24,35,46142.55236152384,0,0.0,0.0,0.005185890477150679,1.9019854068756104,0.009863488376140594,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.51889422442764e-07,-1.039907715494337e-06
13:15:25,36,46142.55237310187,0,0.0,0.0,0.005150985904037952,1.9020134210586548,0.00979724433273077,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.487105110863922e-07,-1.0413488098492962e-06
13:15:26,36,46142.552384682,0,0.0,0.0,0.0051164631731808186,1.6180025339126587,0.008350047282874584,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.550683337991359e-07,-1.040734332491411e-06
13:15:27,36,46142.5523962601,0,0.0,0.0,0.005236816592514515,1.6179940700531006,0.008348769508302212,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.543901918121264e-07,-1.0411368975837831e-06
13:15:28,36,46142.552407835494,0,0.0,0.0,0.005159950349479914,1.176003336906433,0.0060681188479065895,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.65537527311244e-07,-1.033019998430973e-06
13:15:29,37,46142.55241941568,0,0.0,0.0,0.005206871312111616,1.1759922504425049,0.006123240105807781,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.652408615082095e-07,-1.0339524578739656e-06
13:15:30,37,46142.55243099212,0,0.0,0.0,0.005200576968491077,0.618004322052002,0.0031695403158664703,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.61701619719679e-07,-1.0432349881739356e-06
13:15:31,38,46142.55244257211,0,0.0,0.0,0.005169296637177467,0.6179888248443604,0.0031982213258743286,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.571240191988181e-07,-1.045968929247465e-06
13:15:32,38,46142.55245414985,0,0.0,0.0,0.005148506257683039,3.0994415283203125e-06,1.5957494881035927e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.660462190666294e-07,-1.0299471568941954e-06
