Time,Milliseconds,OLE Automation Date,105.1: Error Number,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
12:33:53,413,46146.52353487348,0,-0.0014343262882903218,-3.013014793395996e-05,1.5775158317410387e-06,-55.4984130859375,-55.4984130859375,-6.835937824689609e-07,-1.0537678463151678e-06
12:33:54,416,46146.52354648403,0,-0.0009275436750613153,2.6180272102355957,-0.0024283346720039845,-55.4984130859375,-55.4984130859375,-6.900151561239909e-07,-1.0642158940754598e-06
12:33:55,427,46146.52355818809,0,-0.0005022049299441278,3.175562620162964,-0.0017534740036353469,-55.4984130859375,-55.4984130859375,-6.953981710466905e-07,-1.0598078006296419e-06
12:33:56,420,46146.52356968069,0,-0.0005495071527548134,3.6180622577667236,-0.0019129312131553888,-55.4984130859375,-55.4984130859375,-6.838056947344739e-07,-1.0567559911578428e-06
12:33:57,426,46146.52358132417,0,-0.000304985063849017,3.902125835418701,-0.0013769022189080715,-55.4984130859375,-55.4984130859375,-6.931940674803627e-07,-1.0506736316528986e-06
12:33:58,418,46146.52359280542,0,-0.00012226105900481343,3.9999852180480957,-0.0006851234356872737,-55.4984130859375,-55.4984130859375,-6.78783010243933e-07,-1.0621388355502859e-06
12:33:59,426,46146.52360447568,0,-2.5177003408316523e-05,3.902127504348755,-9.452251833863556e-05,-55.4984130859375,-55.4984130859375,-6.800545975238492e-07,-1.0707219644245924e-06
12:34:00,419,46146.52361596778,0,-1.621246337890625e-05,3.618044853210449,0.0001559597294544801,-55.4984130859375,-55.4984130859375,-6.834666237409692e-07,-1.0762532838271e-06
12:34:01,429,46146.523627654984,0,0.0002677917655091733,3.175581932067871,0.0008376750629395247,-55.4984130859375,-55.4984130859375,-6.91053628543159e-07,-1.0634528280206723e-06
12:34:02,418,46146.52363910425,0,0.0001810073881642893,2.6180193424224854,0.0003135940933134407,-55.4984130859375,-55.4984130859375,-7.000181767580216e-07,-1.070891585186473e-06
12:34:03,432,46146.52365083484,0,0.0002925872977357358,2.000025510787964,0.0005870894528925419,-55.4984130859375,-55.4984130859375,-6.888707844154851e-07,-1.057794406733592e-06
12:34:04,435,46146.52366244719,0,0.0003135681326966733,1.38197922706604,0.00043334465590305626,-55.4984130859375,-55.4984130859375,-6.908841214681161e-07,-1.0630714086801163e-06
12:34:05,444,46146.52367412122,0,0.0003154754813294858,0.824418306350708,0.00026008376153185964,-55.4984130859375,-55.4984130859375,-6.874720384075772e-07,-1.055759867085726e-06
12:34:06,436,46146.523685612345,0,0.000381279009161517,0.38197994232177734,0.00014534950605593622,-55.4984130859375,-55.4984130859375,-6.851408898000955e-07,-1.0607402600726346e-06
12:34:07,442,46146.52369725666,0,0.0004222870047669858,0.09789323806762695,4.069786155014299e-05,-55.4984130859375,-55.4984130859375,-6.916894221831171e-07,-1.0619905879138969e-06
12:34:08,444,46146.52370884863,0,0.00040245059062726796,-1.2874603271484375e-05,-5.495712773750938e-09,-55.4984130859375,-55.4984130859375,-6.839752586529357e-07,-1.0663986813597148e-06
12:34:09,444,46146.52372042234,0,0.0004974365583620965,0.09789562225341797,4.869686017627828e-05,-55.4984130859375,-55.4984130859375,-6.892734631946951e-07,-1.0611004199745366e-06
12:34:10,437,46146.5237319127,0,0.0005672455299645662,0.3819544315338135,0.0002303581131855026,-55.4984130859375,-55.4984130859375,-6.874508358123421e-07,-1.0597017308100476e-06
12:34:11,444,46146.523743567144,0,0.0006242752424441278,0.8244493007659912,0.0005077507230453193,-55.4984130859375,-55.4984130859375,-6.902906761752092e-07,-1.0597017308100476e-06
12:34:12,441,46146.52375511249,0,0.0007024765363894403,1.3819390535354614,0.0009707797435112298,-55.4984130859375,-55.4984130859375,-6.83021596614708e-07,-1.0564381227595732e-06
12:34:13,443,46146.52376671029,0,0.0008497238741256297,2.0000195503234863,0.0016994643956422806,-55.4984130859375,-55.4984130859375,-6.755829531357449e-07,-1.0543187727307668e-06
12:34:14,437,46146.52377820992,0,0.0008686066139489412,2.6180474758148193,0.002172185340896249,-55.4984130859375,-55.4984130859375,-6.925583306838234e-07,-1.0543187727307668e-06
12:34:15,443,46146.52378985807,0,0.0011583329178392887,3.1755926609039307,0.003388822078704834,-55.4984130859375,-55.4984130859375,-6.905237910359574e-07,-1.0637708101057797e-06
12:34:16,436,46146.52380135368,0,0.0010456085437908769,3.618007183074951,0.003783019259572029,-55.4984130859375,-55.4984130859375,-6.773631184842088e-07,-1.0668013601389248e-06
12:34:17,444,46146.523813010695,0,0.0011642456520348787,3.9021174907684326,0.004543023183941841,-55.4984130859375,-55.4984130859375,-6.901635742906365e-07,-1.0651694992702687e-06
12:34:18,438,46146.52382451905,0,0.0011226654751226306,3.999953031539917,0.004558509681373835,-55.4984130859375,-55.4984130859375,-6.896337367834349e-07,-1.0733499493653653e-06
12:34:19,439,46146.52383609978,0,0.0012311936588957906,3.902082920074463,0.004767750855535269,-55.4984130859375,-55.4984130859375,-6.852256433376169e-07,-1.0634528280206723e-06
