Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
10:42:42,632,46146.44632676045,0,0.0,0.0,-0.0017566682072356343,0.00011406093835830688,-1.3487225203334674e-07,-55.4984130859375,-55.4984130859375,-6.762610382793355e-07,-1.0474947202965268e-06
10:42:43,633,46146.44633835123,0,0.0,0.0,-0.001805305597372353,0.00016136467456817627,-2.8684976882686897e-07,-55.4984130859375,-55.4984130859375,-6.706873705297767e-07,-1.0356479833717458e-06
10:42:44,637,46146.446349976504,0,0.0,0.0,-0.001818847726099193,6.332248449325562e-05,-1.1517395392957042e-07,-55.4984130859375,-55.4984130859375,-6.761339363947627e-07,-1.0411156381451292e-06
10:42:45,647,46146.44636165717,0,0.0,0.0,-0.001792526338249445,0.00013961642980575562,-2.431050347695418e-07,-55.4984130859375,-55.4984130859375,-6.719801035615092e-07,-1.0413065183456638e-06
10:42:46,637,46146.446373124556,0,0.0,0.0,-0.0017934800125658512,8.735805749893188e-05,-3.693745327382203e-07,-55.4984130859375,-55.4984130859375,-6.711748028465081e-07,-1.0508008472243091e-06
10:42:47,645,46146.446384790084,0,0.0,0.0,-0.0018304826226085424,3.394484519958496e-05,-6.164986388057514e-08,-55.4984130859375,-55.4984130859375,-6.693946374980442e-07,-1.041497171172523e-06
10:42:48,638,46146.44639628377,0,0.0,0.0,-0.0017330170376226306,4.844367504119873e-05,-8.582017585467838e-08,-55.4984130859375,-55.4984130859375,-6.658131042058812e-07,-1.0419845466458355e-06
10:42:49,635,46146.44640781482,0,0.0,0.0,-0.0018194199074059725,8.162856101989746e-05,-1.4851663365789136e-07,-55.4984130859375,-55.4984130859375,-6.772359597562172e-07,-1.039928974932991e-06
10:42:50,638,46146.44641942271,0,0.0,0.0,-0.0017986298771575093,4.120171070098877e-05,-7.288068104571721e-08,-55.4984130859375,-55.4984130859375,-6.808599550822692e-07,-1.0501437373022782e-06
10:42:51,646,46146.44643109308,0,0.0,0.0,-0.0017499924870207906,6.828457117080688e-05,-1.2007055261165078e-07,-55.4984130859375,-55.4984130859375,-6.602181770176685e-07,-1.0426628023196827e-06
10:42:52,638,46146.44644257272,0,0.0,0.0,-0.0018161775078624487,2.555549144744873e-05,-8.280289875983726e-08,-55.4984130859375,-55.4984130859375,-6.796943239351094e-07,-1.038085088111984e-06
10:42:53,646,46146.44645424518,0,0.0,0.0,-0.0017313004937022924,3.814697265625e-05,-6.604387436937031e-08,-55.4984130859375,-55.4984130859375,-6.662157261416723e-07,-1.0481728622835362e-06
10:42:54,638,46146.44646572197,0,0.0,0.0,-0.001843452570028603,-2.174079418182373e-05,3.816647975440901e-08,-55.4984130859375,-55.4984130859375,-6.754557375643344e-07,-1.0464351589689613e-06
10:42:55,646,46146.44647739067,0,0.0,0.0,-0.0017623902531340718,7.934868335723877e-05,-1.4290053229615296e-07,-55.4984130859375,-55.4984130859375,-6.706026169922552e-07,-1.0440190862937015e-06
10:42:56,638,46146.44648887185,0,0.0,0.0,-0.0017583847511559725,0.00015679001808166504,3.549420668491621e-08,-55.4984130859375,-55.4984130859375,-6.671905339317163e-07,-1.045968929247465e-06
10:42:57,646,46146.44650054339,0,0.0,0.0,-0.0017673493130132556,0.00016479939222335815,-2.9125808964636235e-07,-55.4984130859375,-55.4984130859375,-6.65537527311244e-07,-1.0468801292518037e-06
10:42:58,639,46146.446512026916,0,0.0,0.0,-0.001826477120630443,3.318488597869873e-05,-6.042154865326665e-08,-55.4984130859375,-55.4984130859375,-6.644779091402597e-07,-1.0480457603989635e-06
10:42:59,647,46146.44652369569,0,0.0,0.0,-0.0017797470791265368,5.646049976348877e-05,-1.0326380817105019e-07,-55.4984130859375,-55.4984130859375,-6.740781941516616e-07,-1.0400136716270936e-06
10:43:00,645,46146.44653524939,0,0.0,0.0,-0.0018135071732103825,7.285922765731812e-05,-1.311579609364344e-07,-55.4984130859375,-55.4984130859375,-6.648169801337644e-07,-1.0427052075101528e-06
10:43:01,646,46146.44654683695,0,0.0,0.0,-0.001786232111044228,0.00013083964586257935,-1.3538303278437525e-07,-55.4984130859375,-55.4984130859375,-6.624646289310476e-07,-1.038339519254805e-06
10:43:02,640,46146.44655833518,0,0.0,0.0,-0.0018104554619640112,8.163601160049438e-05,8.954582142450818e-08,-55.4984130859375,-55.4984130859375,-6.606632041439298e-07,-1.0535134151723469e-06
