Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1045.1: HR1 Temp,1045.2: HR2 Temp,1048.1: HR Temp Differential Input,1048.2: HR Temp Differential Input,1046.1: Differential Voltage,1046.2: Differential Voltage
09:47:23,108,46146.40790635302,0,0.0,0.0,-0.0018672944279387593,0.00013846904039382935,-2.5856246566036134e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.643931556027383e-07,-1.0336347031625337e-06
09:47:24,122,46146.407918082885,0,0.0,0.0,-0.0018791200127452612,8.659064769744873e-05,-1.6271421543478937e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.572511779268098e-07,-1.0342492942072568e-06
09:47:25,132,46146.4079297766,0,0.0,0.0,-0.001887512276880443,4.2341649532318115e-05,-7.99203832002604e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.681018476228928e-07,-1.039907715494337e-06
09:47:26,124,46146.40794125006,0,0.0,0.0,-0.0019063950749114156,0.00015106797218322754,-2.8799524898204254e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.7053900920655e-07,-1.0425991376905586e-06
09:47:27,132,46146.40795292486,0,0.0,0.0,-0.0019046784145757556,7.782131433486938e-05,-1.4822457217178453e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.7053900920655e-07,-1.035669129123562e-06
09:47:28,124,46146.40796440102,0,0.0,0.0,-0.0018560410244390368,2.059340476989746e-05,-3.8956716963411964e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.708781370434735e-07,-1.0317696705897106e-06
09:47:29,130,46146.40797605077,0,0.0,0.0,-0.0018283844692632556,5.3025782108306885e-05,-9.695151703681404e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.723404339936678e-07,-1.0353724064771086e-06
09:47:30,124,46146.40798755017,0,0.0,0.0,-0.0018241882789880037,0.0001239776611328125,-7.18640791319558e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.671058372376137e-07,-1.0428747145851958e-06
09:47:31,132,46146.4079992141,0,0.0,0.0,-0.0018140793545171618,0.00012131035327911377,-8.825336550444263e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.650713544331666e-07,-1.0313247003068682e-06
09:47:32,124,46146.40801069818,0,0.0,0.0,-0.0018615723820403218,8.163601160049438e-05,-1.5197134928257583e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.772571623514523e-07,-1.036855906022538e-06
09:47:33,132,46146.40802236935,0,0.0,0.0,-0.0018318176735192537,0.00013007968664169312,-2.3828226858313428e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.62528179873334e-07,-1.0400136716270936e-06
09:47:34,123,46146.40803384079,0,0.0,0.0,-0.0018329621525481343,9.231269359588623e-05,-7.177732896934685e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.714715254929615e-07,-1.0356055781812756e-06
09:47:35,132,46146.40804551154,0,0.0,0.0,-0.0019111634464934468,0.00011864304542541504,-3.1235825304065656e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.713020184179186e-07,-1.03365584891435e-06
09:47:36,123,46146.40805698535,0,0.0,0.0,-0.001877784845419228,5.225837230682373e-05,-9.81299805857816e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.664699867542367e-07,-1.0415607221148093e-06
09:47:37,132,46146.40806866154,0,0.0,0.0,-0.0018424988957121968,0.00011139363050460815,-2.0524264243704238e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.678051818198583e-07,-1.0343551366531756e-06
09:47:38,124,46146.4080801419,0,0.0,0.0,-0.00184211740270257,0.0001068115234375,-1.4062173647744203e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,nan,nan,-6.612353899981827e-07,-1.04935975286935e-06
09:47:39,132,46146.40809181081,0,0.0,0.0,-0.0018291474552825093,4.692375659942627e-05,-8.263743467296081e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.629944095948304e-07,-1.0353300012866384e-06
09:47:40,123,46146.40810328542,0,0.0,0.0,-0.00187263498082757,6.866455078125e-05,-1.2858363618306612e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.715563358739018e-07,-1.0414547659820528e-06
09:47:41,132,46146.40811495676,0,0.0,0.0,-0.0018585205543786287,6.713718175888062e-05,-1.2477583766212774e-07,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.669998811048572e-07,-1.032680984280887e-06
09:47:42,127,46146.408126475195,0,0.0,0.0,-0.0018680572975426912,1.1064112186431885e-05,-2.0140817014180357e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.706238195874903e-07,-1.035669129123562e-06
09:47:43,138,46146.408138182116,0,0.0,0.0,-0.0018522263271734118,5.340576171875e-05,-9.891955699004029e-08,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,nan,nan,-6.599214543712151e-07,-1.0355420272389892e-06
