Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
11:42:51,603,46146.488097267,0,0.0,0.0,0.00238380441442132,1.239776611328125e-05,3.4269760362803936e-09,-55.4984130859375,-55.4984130859375,-6.746716394445684e-07,-1.0508855439184117e-06
11:42:52,619,46146.48810901917,0,0.0,0.0,0.0023862840607762337,0.6180286407470703,0.0014958921819925308,-55.4984130859375,-55.4984130859375,-6.731881398991391e-07,-1.0515001349631348e-06
11:42:53,619,46146.488120590635,0,0.0,0.0,0.0024328231811523438,1.1755694150924683,0.002859952626749873,-55.4984130859375,-55.4984130859375,-6.730609811711474e-07,-1.0494868547539227e-06
11:42:54,626,46146.48813225462,0,0.0,0.0,0.0023960114922374487,1.6180363893508911,0.003876833710819483,-55.4984130859375,-55.4984130859375,-6.77002844895469e-07,-1.0544035831117071e-06
11:42:55,632,46146.48814389849,0,0.0,0.0,0.002544593997299671,1.9021292924880981,0.004840146750211716,-55.4984130859375,-55.4984130859375,-6.742266123183072e-07,-1.04730395378283e-06
11:42:56,626,46146.488155397674,0,0.0,0.0,0.0025531770661473274,2.0000128746032715,0.005106387194246054,-55.4984130859375,-55.4984130859375,-6.864547685836442e-07,-1.054594349625404e-06
11:42:57,620,46146.48816690424,0,0.0,0.0,0.002542877336964011,1.902099847793579,0.004836806561797857,-55.4984130859375,-55.4984130859375,-6.800333949286141e-07,-1.053577079801471e-06
11:42:58,628,46146.488178569096,0,0.0,0.0,0.0024841309059411287,1.6180424690246582,0.004019429441541433,-55.4984130859375,-55.4984130859375,-6.831486984992807e-07,-1.0528352731853374e-06
11:42:59,619,46146.48819003516,0,0.0,0.0,0.0024679184425622225,1.1755810976028442,0.002881282242015004,-55.4984130859375,-55.4984130859375,-6.825129617027414e-07,-1.0435952617626754e-06
11:43:00,625,46146.48820168638,0,0.0,0.0,0.0024353028275072575,0.618039608001709,0.001513365306891501,-55.4984130859375,-55.4984130859375,-6.738239335390972e-07,-1.0457780490469304e-06
11:43:01,620,46146.488213202305,0,0.0,0.0,0.002385902451351285,-2.1457672119140625e-06,-5.119591417468428e-09,-55.4984130859375,-55.4984130859375,-6.800545975238492e-07,-1.0498895335331326e-06
