Time,Milliseconds,OLE Automation Date,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
13:42:02,398,46146.570861088854,-0.0014213562244549394,0.0006607025861740112,-9.790418289412628e-07,-55.4984130859375,-6.691827252325311e-07,-1.0448455896039377e-06
13:42:02,542,46146.570862758046,-0.0011764527298510075,1.3739336729049683,-0.0028914206195622683,-55.4984130859375,-6.691827252325311e-07,-1.0448455896039377e-06
13:42:02,686,46146.570864426794,-0.0010475158924236894,2.7471182346343994,-0.002877650083974004,-55.4984130859375,-6.691827252325311e-07,-1.0448455896039377e-06
13:42:02,878,46146.57086664714,-0.0007774353143759072,3.555722951889038,-0.003324538003653288,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,22,46146.57086832065,-0.0010046005481854081,3.631666421890259,-0.0036700007040053606,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,167,46146.570869989235,-0.0009107590303756297,3.924180507659912,-0.0035739827435463667,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,311,46146.570871655385,-0.0009052277309820056,3.940476655960083,-0.0037652431055903435,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,487,46146.57087369889,-0.0008773804293014109,3.8365185260772705,-0.0033660861663520336,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,630,46146.57087535421,-0.0007724762544967234,3.3475394248962402,-0.002585894661024213,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,774,46146.57087702228,-0.0006885529146529734,2.6284217834472656,-0.0025191917084157467,-55.4984130859375,-6.789313715671597e-07,-1.053343908097304e-06
13:42:03,975,46146.570879342165,-0.0008567810291424394,2.000011444091797,-0.001596854766830802,-55.4984130859375,-6.894006219226867e-07,-1.03967454379017e-06
13:42:04,126,46146.5708810969,-0.0008630753145553172,1.8549673557281494,-0.0016009765677154064,-55.4984130859375,-6.894006219226867e-07,-1.03967454379017e-06
13:42:04,270,46146.57088276569,-0.0009431839571334422,1.0413495302200317,-0.0009821841958910227,-55.4984130859375,-6.894006219226867e-07,-1.03967454379017e-06
13:42:04,414,46146.57088443261,-0.000953292881604284,0.390045166015625,-0.0003798619727604091,-55.4984130859375,-6.894006219226867e-07,-1.03967454379017e-06
13:42:04,607,46146.57088665991,-0.0009389877668581903,0.31460070610046387,-0.00029540620744228363,-55.4984130859375,-6.894006219226867e-07,-1.03967454379017e-06
13:42:04,750,46146.57088832058,-0.0009603500948287547,0.036936044692993164,-3.547153391991742e-05,-55.4984130859375,-6.894006219226867e-07,-1.03967454379017e-06
13:42:04,895,46146.57088998852,-0.0009328842861577868,0.09627342224121094,-8.867347060004249e-05,-55.4984130859375,-6.894006219226867e-07,-1.0617998214002e-06
13:42:05,85,46146.57089218861,-0.0008489608881063759,0.38196563720703125,-0.0003242738894186914,-55.4984130859375,-6.804784220548754e-07,-1.0617998214002e-06
13:42:05,230,46146.5708938697,-0.0008005142444744706,0.6513538360595703,-0.0005214179982431233,-55.4984130859375,-6.804784220548754e-07,-1.0617998214002e-06
13:42:05,375,46146.57089554513,-0.000831222569104284,1.370386004447937,-0.0010402940679341555,-55.4984130859375,-6.804784220548754e-07,-1.0617998214002e-06
13:42:05,518,46146.57089720418,-0.0007247925386764109,1.4864473342895508,-0.001257680356502533,-55.4984130859375,-6.804784220548754e-07,-1.0617998214002e-06
13:42:05,727,46146.570899618426,-0.0006015778053551912,2.1429190635681152,-0.0012891325168311596,-55.4984130859375,-6.804784220548754e-07,-1.0617998214002e-06
13:42:05,870,46146.57090128248,-0.0005092620849609375,2.9567456245422363,-0.0015057584969326854,-55.4984130859375,-6.804784220548754e-07,-1.0617998214002e-06
13:42:06,15,46146.57090295272,-0.0003526687796693295,3.6092190742492676,-0.0018745239358395338,-55.4984130859375,-6.692462761748175e-07,-1.0465834066053503e-06
13:42:06,192,46146.570905006294,-0.0004850387922488153,3.9020817279815674,-0.001892660977318883,-55.4984130859375,-6.692462761748175e-07,-1.0465834066053503e-06
13:42:06,351,46146.570906844514,-0.00044651032658293843,3.961021661758423,-0.0017686370993033051,-55.4984130859375,-6.692462761748175e-07,-1.0465834066053503e-06
