Time,Milliseconds,OLE Automation Date,105.1: Error Number,1012.1: CH1 Nom I,1013.1: CH1 Nom U,1020.1: CH1 Act I,1021.1: CH1 Act U,1022.1: CH1 Act P,1044.1: LR1 Temp,1044.2: LR2 Temp,1045.1: HR1 Temp,1045.2: HR2 Temp,1046.1: Differential Voltage,1046.2: Differential Voltage
13:16:37,383,46142.5532104586,0,0.0,0.0,0.005717277992516756,-0.0046176910400390625,-4.329055082052946e-05,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.699032724100107e-07,-1.0331684734410373e-06
13:16:38,383,46142.553222036535,0,0.0,0.0,0.005728531163185835,-0.007639884948730469,-4.216984598315321e-05,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.696913601444976e-07,-1.0411156381451292e-06
13:16:39,384,46142.55323361319,0,0.0,0.0,0.00568733224645257,-0.0075283050537109375,-4.281597284716554e-05,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.6371495677231e-07,-1.039759467857948e-06
13:16:40,384,46142.55324519347,0,0.0,0.0,0.00574073800817132,-0.0075337886810302734,-4.324950714362785e-05,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.640116794187634e-07,-1.0272343615724822e-06
13:16:41,384,46142.55325676894,0,0.0,0.0,0.005706596653908491,-0.007688045501708984,-4.397522207000293e-05,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.672965469078918e-07,-1.0351604942115955e-06
13:16:42,385,46142.5532683489,0,0.0,0.0,0.005690193269401789,-0.0074291229248046875,-4.327930582803674e-05,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.712595563840296e-07,-1.0402468433312606e-06
13:16:43,385,46142.553279928965,0,0.0,0.0,0.005798149388283491,0.9999884366989136,0.005798082333058119,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.643083452217979e-07,-1.0485755410627462e-06
13:16:44,386,46142.55329151053,0,0.0,0.0,0.005787086673080921,1.000003457069397,0.005787106696516275,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.672541985608405e-07,-1.0402468433312606e-06
13:16:45,386,46142.55330309005,0,0.0,0.0,0.005879211705178022,1.0000014305114746,0.005830582696944475,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.596459911634156e-07,-1.0402468433312606e-06
13:16:46,387,46142.55331467064,0,0.0,0.0,0.005841446109116077,1.0000306367874146,0.0058825514279305935,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00011444091797,-6.581624916179862e-07,-1.0456298014105414e-06
13:16:47,387,46142.55332624617,0,0.0,0.0,0.005823707673698664,0.9999926090240479,0.005823664832860231,-55.4984130859375,-55.4984130859375,-60.00006866455078,-60.00010681152344,-6.62930858652544e-07,-1.04173034287669e-06
